FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
SHERBURNE	SAINTLOUIS	0.5251343463744664	0.027901234567901233
STEARNS	SAINTLOUIS	1.5430405642108882	0.07777777777777778
WASHINGTON	SAINTLOUIS	5.463149916288594	0.22993827160493827
WRIGHT	SAINTLOUIS	0.4240921639832526	0.02265432098765432
SHERBURNE	SCOTT	1.7713848976321727	0.0882716049382716
STEARNS	SCOTT	0.2055736225192676	0.011111111111111112
WASHINGTON	SCOTT	0.21828633950934037	0.011790123456790123
WRIGHT	SCOTT	3.2021741097679235	0.14895061728395062
STEARNS	SHERBURNE	296377.75289606646	1.0
WASHINGTON	SHERBURNE	0.04074844633455416	0.0022222222222222222
WRIGHT	SHERBURNE	161.66511878478337	0.8983333333333333
WASHINGTON	STEARNS	11.108317531130425	0.37777777777777777
WRIGHT	STEARNS	0.3370053029757303	0.01808641975308642
WRIGHT	WASHINGTON	0.1273718218095512	0.006913580246913581
